timestamp,tweet_text,username,all_hashtags,followers_count
2020-11-10 12:54:12,"b'""The First One to Scream, Loses - Conflict Management Techniques for Parents"" #ebook https://t.co/CgtwKdoDWo #ChildrensBooks #parenting #lifeskills #feelings #FeelingMyself #spirituality #kidsbooks #selfimprovement #Selfesteem @Asaf_Shani #responsibility #conflict #teens'",b'Asaf_Shani',"['ebook', 'ChildrensBooks', 'parenting', 'lifeskills', 'feelings', 'FeelingMyself', 'spirituality', 'kidsbooks', 'selfimprovement', 'Selfesteem', 'responsibility', 'conflict', 'teens']",55297
2020-11-10 12:53:54,"b'""The Matrix Of Conflict: Escaping the Matrix by understanding why we get trapped in confrontational situations"" #ebook https://t.co/LUuIx0odWj #thematrix #negotiation #conflict #strategy #tactical #Management #selfhelp #winning #iwin #leadership #leadershipskills @Asaf_Shani'",b'Asaf_Shani',"['ebook', 'thematrix', 'negotiation', 'conflict', 'strategy', 'tactical', 'Management', 'selfhelp', 'winning', 'iwin', 'leadership', 'leadershipskills']",55297
2020-11-10 12:53:44,"b'""That\'s No Way To Negotiate! - Common Negotiation Mistakes And What You Can Do To Avoid Them"" #ebook https://t.co/kO0JwqwyYJ #negotiation #conflict #strategy #tactical #Management #selfhelp #winning #iwin @Asaf_Shani'",b'Asaf_Shani',"['ebook', 'negotiation', 'conflict', 'strategy', 'tactical', 'Management', 'selfhelp', 'winning', 'iwin']",55297
2020-11-10 12:53:10,"b'\xe2\x80\x9cNegotiation Tactics - Levers, Guns &amp; Sanctions: Pre Negotiation Moves to Bring Reluctant Parties to Collaboration\xe2\x80\x9d #ebook https://t.co/cLoSq1on0A #negotiation #conflict #strategy #tactical #Management #selfhelp #winning #iwin @Asaf_Shani'",b'Asaf_Shani',"['ebook', 'negotiation', 'conflict', 'strategy', 'tactical', 'Management', 'selfhelp', 'winning', 'iwin']",55297
2020-11-10 12:52:58,"b'""The I Win Negotiation &amp; Conflict Approach: Compromise Less And Win More with A Better Alternative To The Win-Win Approach"" #ebook  https://t.co/cjUQeJuUy3 #negotiation #conflict #strategy #tactical #Management #selfhelp #winning #iwin @Asaf_Shani'",b'Asaf_Shani',"['ebook', 'negotiation', 'conflict', 'strategy', 'tactical', 'Management', 'selfhelp', 'winning', 'iwin']",55297
2020-11-10 12:52:46,"b'""Negotiation Manipulation Moves: Smart And Acceptable Manipulation Tactics You Can Employ To Turn The Negotiation Odds In Your Favor"" #ebook  https://t.co/AyhhfkOVwm #negotiation #conflict #strategy #tactical #Management #selfhelp #winning @Asaf_Shani'",b'Asaf_Shani',"['ebook', 'negotiation', 'conflict', 'strategy', 'tactical', 'Management', 'selfhelp', 'winning']",55297
2020-11-10 12:52:35,b'\xe2\x80\x9cKid-Friendly Ways to Change Behavior - Fun Conflict Management Tactics for Parents\xe2\x80\x9d https://t.co/UUWFoDW0LL #ebook #conflict #parenting #Parents #education #fun #Selfesteem @Asaf_Shani',b'Asaf_Shani',"['ebook', 'conflict', 'parenting', 'Parents', 'education', 'fun', 'Selfesteem']",55297
2020-11-10 12:33:37,b'\xe2\x80\x9cWhen Buried Anger Leads to Depression &amp; How To Heal\xe2\x80\x9d #anger #gratitude #guilt #emotions #depression #thechangetriangle #ambivalence #emotionalhealth #conflict  https://t.co/ItUToXNfTX',b'HilaryJHendel',"['anger', 'gratitude', 'guilt', 'emotions', 'depression', 'thechangetriangle', 'ambivalence', 'emotionalhealth', 'conflict']",8937
2020-11-10 12:30:16,"b""#ManagementTip: As a new or future #manager it's important to remember what truly #motivates #people; it's not always about #money: https://t.co/1mR4RvZvuy #development #motivation #delegation #assertive #conflict #feelings #emotions #communication #learning #bethebestyoucanbe https://t.co/ktt1lFmFEe""",b'TargetTrgAssoc',"['ManagementTip', 'manager', 'motivates', 'people', 'money', 'development', 'motivation', 'delegation', 'assertive', 'conflict', 'feelings', 'emotions', 'communication', 'learning', 'bethebestyoucanbe']",1444
2020-11-10 12:25:13,"b""We've been talking about #contact theory, in terms of how #prejudice and #conflict between groups declines when members of different faith and #belief groups interact with one other, and how non-faith/faith communities might facilitate more contact and exchange.  #FaithBelief2040""",b'CumberlandLodge',"['contact', 'prejudice', 'conflict', 'belief', 'FaithBelief2040']",4175
2020-11-10 12:16:23,"b'\xf0\x9f\x94\x9cHappening TOMORROW\xe2\x9a\xa0\xef\xb8\x8f #FSCluster global #partners mtg &amp;\xf0\x9f\x94\x9fyr anniversary!\xf0\x9f\xa5\xb3   Join us on Zoom to discuss #foodsecurity coordination, #COVID19,#conflict,#climatechange &amp;much more \xf0\x9f\x91\x87 \xf0\x9f\x97\x93\xef\xb8\x8f11&amp;12 Nov \xe2\x8f\xb0 1-4pm CET \xe2\x9c\x85REGISTER: https://t.co/VmTeygG6QJ   #InvestInHumanity #FSCluster10years https://t.co/uE1TnIrIP8'",b'FSCluster',"['FSCluster', 'partners', 'foodsecurity', 'COVID19', 'conflict', 'climatechange', 'InvestInHumanity', 'FSCluster10years']",3933
2020-11-10 12:12:20,b'#Conflict Mismanagement: Jilted Wife eats $7000 https://t.co/ELMqUdI7Qw #divorce',b'ksgrossman',"['Conflict', 'divorce']",1580
2020-11-10 12:04:45,"b'@cher Why are you getting all worked up? Look at the photo. Your people are leaving the #conflict zone while in their cars and warmth, with their stuff packed. My people, #Azerbaijani people, were forced to flee unexpectedly, during the night, barely dressed in the freezing cold...'",b'iamjahan84',"['conflict', 'Azerbaijani']",91
2020-11-10 12:00:10,b'South-West Leaders Call For Security Overhauling @THISDAYLIVE: https://t.co/AkBpVU84Gr #Nigeria #conflict #EndSARS #governance #conflict #humanrights https://t.co/Ax0J1dPzrv',b'allafrica',"['Nigeria', 'conflict', 'EndSARS', 'governance', 'conflict', 'humanrights']",424417
2020-11-10 10:02:15,"b""@HMaksak  on the #EU's role in #conflict resolution in the Eastern Partnership #EaP @eapcsf @EaPCivilSociety https://t.co/VF1okwW9YW""",b'prismUA',"['EU', 'conflict', 'EaP']",945
2020-11-10 09:47:02,"b""How to manage the 'R number' for conflict at work: https://t.co/JrxNDqrZlD #conflict #HR https://t.co/Juv7WW1Urs""",b'HRZone',"['conflict', 'HR']",77650
2020-11-10 09:26:17,"b""Trees Vs Peat? As usual it's just not that simple; bad practice creates conflict and people take sides, whilst landscapes insist on being much more 'blurry' I'd like to understand this better if anyone has links/refs/books?  #trees #peat #landscape #conflict #WhatIsForest https://t.co/B8bVrvbrjT""",b'missjsknight',"['trees', 'peat', 'landscape', 'conflict', 'WhatIsForest']",335
2020-11-10 08:21:00,b'Last week we talked to Louisa Weinstein about conflicts. I can really recommend her book 7 Principles of Conflict Resolution. It provides you with concrete tools to resolve or mediate difficult conversations and conflict situations.   #change #conflict #individualchange',b'MortenKamp',"['change', 'conflict', 'individualchange']",1482
2020-11-10 08:12:03,b'@MaryJoe38642126 @Rep_Watkins @HouseCommerce @HouseAgGOP Please #Cosponsor #HR961 #SafeAct Horses have been #loyal #ally to Man from the beginning of time through #conflict &amp; #wartime Part of our Police Force Used in #therapy BUT they were never meant to be food What a #tragic #betrayal to such a #majestic animal #FriendsNotFood',b'LJPattin1',"['Cosponsor', 'HR961', 'SafeAct', 'loyal', 'ally', 'conflict', 'wartime', 'therapy', 'tragic', 'betrayal', 'majestic', 'FriendsNotFood']",227
2020-11-10 08:10:30,b'@MaryJoe38642126 @RepVanTaylor @HouseCommerce @HouseAgGOP Please #Cosponsor #HR961 #SafeAct Horses have been #loyal #ally to Man from the beginning of time through #conflict &amp; #wartime Part of our Police Force Used in #therapy BUT they were never meant to be food What a #tragic #betrayal to such a #majestic animal #FriendsNotFood',b'LJPattin1',"['Cosponsor', 'HR961', 'SafeAct', 'loyal', 'ally', 'conflict', 'wartime', 'therapy', 'tragic', 'betrayal', 'majestic', 'FriendsNotFood']",227
2020-11-10 08:09:08,b'@MaryJoe38642126 @RepTimmons @HouseCommerce @HouseAgGOP Please #Cosponsor #HR961 #SafeAct Horses have been #loyal #ally to Man from the beginning of time through #conflict &amp; #wartime Part of our Police Force Used in #therapy BUT they were never meant to be food What a #tragic #betrayal to such a #majestic animal #FriendsNotFood',b'LJPattin1',"['Cosponsor', 'HR961', 'SafeAct', 'loyal', 'ally', 'conflict', 'wartime', 'therapy', 'tragic', 'betrayal', 'majestic', 'FriendsNotFood']",227
2020-11-10 08:08:24,b'@MaryJoe38642126 @RepGregSteube @HouseCommerce @HouseAgGOP Please #Cosponsor #HR961 #SafeAct Horses have been #loyal #ally to Man from the beginning of time through #conflict &amp; #wartime Part of our Police Force Used in #therapy BUT they were never meant to be food What a #tragic #betrayal to such a #majestic animal #FriendsNotFood',b'LJPattin1',"['Cosponsor', 'HR961', 'SafeAct', 'loyal', 'ally', 'conflict', 'wartime', 'therapy', 'tragic', 'betrayal', 'majestic', 'FriendsNotFood']",227
2020-11-10 08:07:04,b'@MaryJoe38642126 @RepBryanSteil @HouseCommerce @HouseAgGOP Please #Cosponsor #HR961 #SafeAct Horses have been #loyal #ally to Man from the beginning of time through #conflict &amp; #wartime Part of our Police Force Used in #therapy BUT they were never meant to be food What a #tragic #betrayal to such a #majestic animal #FriendsNotFood',b'LJPattin1',"['Cosponsor', 'HR961', 'SafeAct', 'loyal', 'ally', 'conflict', 'wartime', 'therapy', 'tragic', 'betrayal', 'majestic', 'FriendsNotFood']",227
2020-11-10 08:00:49,"b""6 Nigerians Convicted in UAE Over 'Boko Haram Funding' @daily_trust: https://t.co/13EyVVIm4S #Nigeria #UAE #Bokoharam #militants #conflict #legal #governance https://t.co/m7x3uaZ4qJ""",b'allafrica',"['Nigeria', 'UAE', 'Bokoharam', 'militants', 'conflict', 'legal', 'governance']",424417
2020-11-10 07:26:22,b'Are these people willing to die for Nagorno-Karabakh??? A breakaway region that belongs to Azerbaijan under international law. \xf0\x9f\xa4\x94#azerbaijan #conflict #war #Armenia',b'BahadirUsa',"['azerbaijan', 'conflict', 'war', 'Armenia']",0
2020-11-10 07:25:03,b'Why the World Bank expects extreme poverty to increase dramatically this year  https://t.co/dnjuMadrhs  #WorldBank #poverty #Covid19 #climatechange #conflict @WorldBank https://t.co/wbjVlhGI2x',b'forumdc',"['WorldBank', 'poverty', 'Covid19', 'climatechange', 'conflict']",12012
2020-11-10 07:06:08,b'#Leadership Dreams Can Come True!  #Leaders and #Goals   #Podcast #RunToYourChallenges #LeadershipDevelopment #LeadershipTraining #Entreprenuer #PersonalDevelopment #Mastermind #TeamBuilding #Conflict #Communication https://t.co/VM6aBqNT9u',b'PaulGrauJr',"['Leadership', 'Leaders', 'Goals', 'Podcast', 'RunToYourChallenges', 'LeadershipDevelopment', 'LeadershipTraining', 'Entreprenuer', 'PersonalDevelopment', 'Mastermind', 'TeamBuilding', 'Conflict', 'Communication']",3866
2020-11-10 07:01:35,"b""Armenia, Azerbaijan and Russia said they have signed a deal with to end the military conflict over the Nagorno-Karabakh region after more than a month of bloodshed.  #NewsofBahrain #Armenia #Azerbaijan #Russia #Conflict  Here's the full report :  https://t.co/799WGTJUs1""",b'newsofbahrain',"['NewsofBahrain', 'Armenia', 'Azerbaijan', 'Russia', 'Conflict']",1100
2020-11-10 07:00:48,b'Do you have 7+ years of experience in economic #research and #analysis? #ESCWA is looking for an Economic Affairs Officer to join its \xe2\x80\x9c#Governance and #Conflict Prevention\xe2\x80\x9d cluster!    Check out the #vacancy \xf0\x9f\x91\x89 https://t.co/EUe3fyuO75 and #apply by 1 December! https://t.co/8a0AmBOTeM',b'UNESCWA',"['research', 'analysis', 'ESCWA', 'Governance', 'Conflict', 'vacancy', 'apply']",15220
2020-11-10 06:46:26,"b'...as \xe2\x80\x9cevery threatening situation breeds mistrust, leading people to withdraw into their safety zone.\xe2\x80\x9d (2/2)    #FratelliTutti #PopeFrancis #fraternity #violence #fear #conflict #humanity #humanfamily #TogethernessMakesUsOne'",b'archbombay',"['FratelliTutti', 'PopeFrancis', 'fraternity', 'violence', 'fear', 'conflict', 'humanity', 'humanfamily', 'TogethernessMakesUsOne']",1358
2020-11-10 06:39:11,b'Armenia capitulated! The #war between #Armenia and #Azerbaijan is over. Armenian PM announced on #Facebook that he has signed an #Peace agreement brokered by #Russia with #Azerbaijan to end the #NogornoKarabakh #conflict.   WE WON ELHAMD\xc3\x9cL\xc4\xb0LLAH  \xf0\x9f\x87\xa6\xf0\x9f\x87\xbf  https://t.co/TCHTHHy1mW',b'mkk6701',"['war', 'Armenia', 'Azerbaijan', 'Facebook', 'Peace', 'Russia', 'Azerbaijan', 'NogornoKarabakh', 'conflict']",13
2020-11-10 06:26:47,"b""Frail Flesh https://t.co/IjaoHnRwPh #NovemberwithBambooks Ah! One of many people's favourite. At some point, Frail Flesh was called my best yet! Grab and go. Shikena! #BestRomance #BestBuy #BestRead #Conflict #Forgiveness #Passion @bambookss""",b'Sinmisolaog',"['NovemberwithBambooks', 'BestRomance', 'BestBuy', 'BestRead', 'Conflict', 'Forgiveness', 'Passion']",1602
2020-11-10 06:24:07,"b'""The First One to Scream, Loses - Conflict Management Techniques for Parents"" #ebook https://t.co/CgtwKdoDWo #ChildrensBooks #parenting #lifeskills #feelings #FeelingMyself #spirituality #kidsbooks #selfimprovement #Selfesteem @Asaf_Shani #responsibility #conflict #teens'",b'Asaf_Shani',"['ebook', 'ChildrensBooks', 'parenting', 'lifeskills', 'feelings', 'FeelingMyself', 'spirituality', 'kidsbooks', 'selfimprovement', 'Selfesteem', 'responsibility', 'conflict', 'teens']",55297
2020-11-10 06:23:54,"b'""The Matrix Of Conflict: Escaping the Matrix by understanding why we get trapped in confrontational situations"" #ebook https://t.co/LUuIx0odWj #thematrix #negotiation #conflict #strategy #tactical #Management #selfhelp #winning #iwin #leadership #leadershipskills @Asaf_Shani'",b'Asaf_Shani',"['ebook', 'thematrix', 'negotiation', 'conflict', 'strategy', 'tactical', 'Management', 'selfhelp', 'winning', 'iwin', 'leadership', 'leadershipskills']",55297
2020-11-10 06:23:42,"b'""That\'s No Way To Negotiate! - Common Negotiation Mistakes And What You Can Do To Avoid Them"" #ebook https://t.co/kO0JwqwyYJ #negotiation #conflict #strategy #tactical #Management #selfhelp #winning #iwin @Asaf_Shani'",b'Asaf_Shani',"['ebook', 'negotiation', 'conflict', 'strategy', 'tactical', 'Management', 'selfhelp', 'winning', 'iwin']",55297
2020-11-10 06:23:29,b'The Romance of Ego &amp; Conflict: A Practical-Spiritual Guide For Improving Your Conflict &amp; Negotiation Abilities By Dissolving Your Own Ego #ebook https://t.co/wqSoeQ3s4O #conflict #negotiation #Ego #EGOIST @EckhartTolle #spirituality #selfhelp #personaldevelopment #personalgrowth',b'Asaf_Shani',"['ebook', 'conflict', 'negotiation', 'Ego', 'EGOIST', 'spirituality', 'selfhelp', 'personaldevelopment', 'personalgrowth']",55297
2020-11-10 06:23:16,"b'\xe2\x80\x9cNegotiation Tactics - Levers, Guns &amp; Sanctions: Pre Negotiation Moves to Bring Reluctant Parties to Collaboration\xe2\x80\x9d #ebook https://t.co/cLoSq1on0A #negotiation #conflict #strategy #tactical #Management #selfhelp #winning #iwin @Asaf_Shani'",b'Asaf_Shani',"['ebook', 'negotiation', 'conflict', 'strategy', 'tactical', 'Management', 'selfhelp', 'winning', 'iwin']",55297
2020-11-10 06:23:05,"b'""The I Win Negotiation &amp; Conflict Approach: Compromise Less And Win More with A Better Alternative To The Win-Win Approach"" #ebook  https://t.co/cjUQeJuUy3 #negotiation #conflict #strategy #tactical #Management #selfhelp #winning #iwin @Asaf_Shani'",b'Asaf_Shani',"['ebook', 'negotiation', 'conflict', 'strategy', 'tactical', 'Management', 'selfhelp', 'winning', 'iwin']",55297
2020-11-10 06:22:52,"b'""Negotiation Manipulation Moves: Smart And Acceptable Manipulation Tactics You Can Employ To Turn The Negotiation Odds In Your Favor"" #ebook  https://t.co/AyhhfkOVwm #negotiation #conflict #strategy #tactical #Management #selfhelp #winning @Asaf_Shani'",b'Asaf_Shani',"['ebook', 'negotiation', 'conflict', 'strategy', 'tactical', 'Management', 'selfhelp', 'winning']",55297
2020-11-10 06:22:40,b'\xe2\x80\x9cKid-Friendly Ways to Change Behavior - Fun Conflict Management Tactics for Parents\xe2\x80\x9d https://t.co/UUWFoDW0LL #ebook #conflict #parenting #Parents #education #fun #Selfesteem @Asaf_Shani',b'Asaf_Shani',"['ebook', 'conflict', 'parenting', 'Parents', 'education', 'fun', 'Selfesteem']",55297
2020-11-10 05:00:14,"b'Meanwhile, Armenians are fleeing Nagorno-Karabakh. The disputed region is internationally recognised as part of Azerbaijan but is controlled by ethnic #Armenians.  #Armenia #Karabakh #NagornoKarabakh #NagornoKarabakhWar #conflict  https://t.co/D5n51UwEWw'",b'AnnuKaushik253',"['Armenians', 'Armenia', 'Karabakh', 'NagornoKarabakh', 'NagornoKarabakhWar', 'conflict']",520
2020-11-10 03:56:38,b'Video showing potentially new #weapon being used in the #conflict  #Armenia #Azerbajian #Azerbaijan #NagornoKarabakh #Artsakh #ArtsakhStrong #Russia #Turkey #Yerevan #Baku #Stepanakert #Shusha #Shushi #Moscow #Ankara #Istanbul #Warzone #MiddleEast #ballistic #missile https://t.co/df7OGCsoZq',b'CASELS2020',"['weapon', 'conflict', 'Armenia', 'Azerbajian', 'Azerbaijan', 'NagornoKarabakh', 'Artsakh', 'ArtsakhStrong', 'Russia', 'Turkey', 'Yerevan', 'Baku', 'Stepanakert', 'Shusha', 'Shushi', 'Moscow', 'Ankara', 'Istanbul', 'Warzone', 'MiddleEast', 'ballistic', 'missile']",7
2020-11-10 02:35:11,"b'Respond to a statement thoughtfully, and in a way that will leave the other person impressed #conflict #PeaceChest https://t.co/wsndteoRRt'",b'ksgrossman',"['conflict', 'PeaceChest']",1580
2020-11-10 00:30:00,b'Conflict in your relationship is HEALTHY and NORMAL #conflict #conflictresolution #healthyconflict',b'JrneyToMarriage',"['conflict', 'conflictresolution', 'healthyconflict']",14
2020-11-10 00:24:52,b'\xe2\x80\x9cThe increase in extreme poverty from 2019 to 2020 is projected to be larger than any time since the World Bank started tracking poverty globally in a consistent manner.\xe2\x80\x9d #COVID19 risks 30 yrs of poverty decline already slowed down by #conflict &amp; #climate @MoazzamTMalik @rglenner https://t.co/FxC35HLMNP',b'AsthanaRoli',"['COVID19', 'conflict', 'climate']",372
2020-11-10 00:06:41,b'Peace deal between #Armenia and #Azerbaizan to end #conflict in #NagornoKarabaj. It is suprising given Azeri military gains. The terms will be crucial- when we have them we will be able to tell if peace is viable in the region. https://t.co/InBv2oRsTq',b'Alexandros_Ale',"['Armenia', 'Azerbaizan', 'conflict', 'NagornoKarabaj']",316
2020-11-09 22:30:22,"b'You can access recordings of the @WorklogicAU  free #webinar series and watch them anytime, on demand and share the insights you gain with your colleagues! Topics include #workplaceinvestigations #bullying #whistleblowers #managementskills #conflict &amp; more https://t.co/lqlDZXgnTA'",b'WorklogicAU',"['webinar', 'workplaceinvestigations', 'bullying', 'whistleblowers', 'managementskills', 'conflict']",237
2020-11-09 22:18:21,b'Can anyone inform me as to what has happened to the civilians of Shusha? #Armenia #Azerbaijan #Shushi #conflict',b'JohnnyW41453670',"['Armenia', 'Azerbaijan', 'Shushi', 'conflict']",1
