timestamp,tweet_text,username,all_hashtags,followers_count,location
2020-11-10 21:55:28,"b'Please join our zoom webinar panel discussing Sports and Peace, on Thursday, November 12, 11:00 am - 12:30 pm Washington DC time https://t.co/vthXWBK0g3 We can all contribute to make the world a more tolerant and peaceful place  #sports #Peace #conflict https://t.co/TK1nX2X8n8'",b'vladspencer',"['sports', 'Peace', 'conflict']",150,Washington DC
2020-11-10 19:37:40,b'This is a good message by the way #AbiyAhmedAli #TPLF #Ethiopia #conflict #peace #negociation https://t.co/MRpwxQw2Rn',b'Jemaln',"['AbiyAhmedAli', 'TPLF', 'Ethiopia', 'conflict', 'peace', 'negociation']",92,"Addis Ababa,Ethiopia"
2020-11-10 06:39:11,b'Armenia capitulated! The #war between #Armenia and #Azerbaijan is over. Armenian PM announced on #Facebook that he has signed an #Peace agreement brokered by #Russia with #Azerbaijan to end the #NogornoKarabakh #conflict.   WE WON ELHAMD\xc3\x9cL\xc4\xb0LLAH  \xf0\x9f\x87\xa6\xf0\x9f\x87\xbf  https://t.co/TCHTHHy1mW',b'mkk6701',"['war', 'Armenia', 'Azerbaijan', 'Facebook', 'Peace', 'Russia', 'Azerbaijan', 'NogornoKarabakh', 'conflict']",13,"Hyderabad, India"
2020-11-09 15:36:27,"b'Meet Jennifer Ezekwem, she is a member of the Partners for Peace (P4P) in the #NigerDelta, Imo state chapter.   She is a seasoned #peace builder and has used her experience in #conflict resolution to mitigate conflict and build peace within her community and across Imo state  1/2 https://t.co/B3Nhopunsz'",b'PINDFoundation',"['NigerDelta', 'peace', 'conflict']",5495,Niger Delta
2020-11-09 14:56:49,"b'[Weekly Report] #Syria Crisis Horizon. #AI-Powered Crisis Indicators, Unique assessment, archive and up-to-date map. Click for PDF download. Stay tuned for the latest developments. https://t.co/7faQ3VOJnp  #MiddleEast #conflict #civilwar #peace'",b'BehorizonOrg',"['Syria', 'AI', 'MiddleEast', 'conflict', 'civilwar', 'peace']",1778,Belgium
2020-11-09 12:34:58,"b'NEXT THURSDAY Join the last #LeadersLink of the year  \xf0\x9f\x8e\x99\xef\xb8\x8fAli Abu Awwad, @FriendsTaghyeer, will speak about his leadership in nonviolent conflict resolution between Palestinians and Israelis  Register + invite others\xf0\x9f\x91\x87 https://t.co/cyHQJQRdfv #leadership #activism #conflict #Peace'",b'LeadersQuest',"['LeadersLink', 'leadership', 'activism', 'conflict', 'Peace']",2371,
2020-11-09 11:56:54,"b""Disagreement's not the giant people make of it. Heart-connection makes it look small. #peace #healing #relationship #unity #united #politics #fighting #conflict #Elections2020 #MondayMorning #friendship #community #Americans #US #OneNation #love #loveoneanother #friends #Caring""",b'CSteveSimms',"['peace', 'healing', 'relationship', 'unity', 'united', 'politics', 'fighting', 'conflict', 'Elections2020', 'MondayMorning', 'friendship', 'community', 'Americans', 'US', 'OneNation', 'love', 'loveoneanother', 'friends', 'Caring']",4402,"Nashville, Tennessee, USA"
2020-11-09 11:44:52,"b'This can lead to #civil #conflict since the losers may find it difficult to accept the result of an election. This is especially significant since a small shift in the votes can completely reverse the result.  As is frequently observed, elections rarely lead to lasting #peace.'",b'justgeorgeous2',"['civil', 'conflict', 'peace']",325,"Perth, Western Australia"
2020-11-09 03:49:45,"b'#peace is not absence of conflict, it is the ability to handle #conflict by #peaceful means.  -   #ronaldregan  #YouTube #painting #LINK  https://t.co/sVlV9g3iBt  #YouTuber #art #artists #painting #MondayMotivation #MondayMood #MondayVibes #mondaythoughts #MondayMorning https://t.co/Gs5TK8jkY6'",b'wepaint_life',"['peace', 'conflict', 'peaceful', 'ronaldregan', 'YouTube', 'painting', 'LINK', 'YouTuber', 'art', 'artists', 'painting', 'MondayMotivation', 'MondayMood', 'MondayVibes', 'mondaythoughts', 'MondayMorning']",219,
2020-11-08 15:49:09,b'As a #peace and #conflict  studies and #conflictresolution guy it is heartening to hear these voices calling for reconciliation https://t.co/x0o0mWBcsa',b'paul_duffill',"['peace', 'conflict', 'conflictresolution']",56,
2020-11-08 13:53:06,b'Our own misunderstanding stands in our way much more than our opponents do. #conflict #conflictresolution #peace #healing #mentalhealth #election #Election2020 #SundayMotivation #relationship #relationshipgoals #hate #anger #violence #hostility #fights #fighting #nonviolence',b'CSteveSimms',"['conflict', 'conflictresolution', 'peace', 'healing', 'mentalhealth', 'election', 'Election2020', 'SundayMotivation', 'relationship', 'relationshipgoals', 'hate', 'anger', 'violence', 'hostility', 'fights', 'fighting', 'nonviolence']",4402,"Nashville, Tennessee, USA"
2020-11-08 09:46:07,b'What are the leading conceptualizations and approaches in the field of conflict resolution? See what Amira Schiff has to say about it &gt;&gt; https://t.co/tK6a21Gwpf #conflict #Resolution #Peace #Ethiopia #Eritrea https://t.co/1zLqhuCLtG',b'StrategicAsses3',"['conflict', 'Resolution', 'Peace', 'Ethiopia', 'Eritrea']",7,Israel
2020-11-07 14:44:19,"b'Those experts who \xe2\x80\x9cworry\xe2\x80\x9d about Armenian population in #Azerbaijan forget these facts. In #fact, they don\xe2\x80\x99t #help us to find #peace. Instead, they take us back to #1988 when such \xe2\x80\x9cworries\xe2\x80\x9d started the #conflict... https://t.co/PKj1PRRXFv'",b'anar_najafli',"['Azerbaijan', 'fact', 'help', 'peace', 'conflict']",107,
2020-11-07 06:32:36,"b'I\xe2\x9d\xa4\xef\xb8\x8fTHIS VIDEO\xe2\x9d\x97\xef\xb8\x8f Finally, it is said loud (here by #EU): ""In conflict and crisis, #culture plays a central role in preventing escaletion of violence, ensuring an inclusive dialogue and facilitating peace"" \xf0\x9f\x96\xa4         #CulturalHeritage #War #Conflict #Peace  https://t.co/Hn5WL5hBjE'",b'KGuziak',"['EU', 'culture', 'CulturalHeritage', 'War', 'Conflict', 'Peace']",378,
2020-11-07 05:31:40,"b'""In failing to engage with the local and cultural practices throughout the peace process, top-down initiatives ignore their audience for the sake of the play."" @anitapavic555 explores #peacebuilding efforts in #Uganda. #Conflict #PeaceProcess #Peace https://t.co/sBHmWwq3aS'",b'TheIntlScholar',"['peacebuilding', 'Uganda', 'Conflict', 'PeaceProcess', 'Peace']",772,Global
2020-11-06 18:06:41,"b""There's a deep connection between #environmental crises, #conflict and #peace. Here\xe2\x80\x99s a fantastic piece on using #OSINT, #satellite imagery (incld from @planetlabs) and other data to protect people + environment. By @wammezz + amigo  @davidedjensen. A #mustread! https://t.co/y2CCWAaJQk""",b'andrew_zolli',"['environmental', 'conflict', 'peace', 'OSINT', 'satellite', 'mustread']",10396,Brooklyn / Saint Paul / SF
2020-11-06 13:27:18,b'\xe2\x80\x9cHow can you ask people to wash their hands when they don\xe2\x80\x99t have access to #water \xe2\x80\x9c Muna Luqman from #Yemen talking about #COVID__19 on the role of #women in the #Peace and #conflict negotiations in a #webinar organised by @siwi_water',b'Rehabamohsen',"['water', 'Yemen', 'COVID__19', 'women', 'Peace', 'conflict', 'webinar']",235,"Cairo, Egypt"
2020-11-06 12:57:42,"b'Peace in the Middle East would not be achieved without creating a Palestinian state under a two-state solution, which would establish the basis of a comprehensive peace deal between Israel and Arab states.#peace #Conflict #conflictresolution'",b'AlShriedehS',"['peace', 'Conflict', 'conflictresolution']",19,
2020-11-06 10:06:48,"b""AFP - Peace seems impossible on Afghanistan's front lines https://t.co/qCEsbSnY66 #Afghanistan #AFG #ARG #Taliban #peace #war #conflict #Terrorism""",b'AFG_in_Media',"['Afghanistan', 'AFG', 'ARG', 'Taliban', 'peace', 'war', 'conflict', 'Terrorism']",858,Afghanistan
2020-11-06 08:03:02,"b'In #SouthAfrica, WPDI is providing trainings in #conflict mediation and #selfawareness so that our 35 youth #peacemakers have the skills to succeed in their future work. Read more: https://t.co/zRJVSu1JTG #peace #education #CapeFlats #CapeTown  @FondationBNPP l @RCSGroup_ https://t.co/oLY4bWv2kk'",b'connectWPDI',"['SouthAfrica', 'conflict', 'selfawareness', 'peacemakers', 'peace', 'education', 'CapeFlats', 'CapeTown']",2379,
2020-11-06 08:02:56,"b'Today is the International Day for Preventing the Exploitation of the Environment in War and Armed Conflict, and at #GPW20 today, it\xe2\x80\x99s all about #environment, #climate, #conflict, and #peace. https://t.co/sKdzd8HeCC'",b'uche4purpose',"['GPW20', 'environment', 'climate', 'conflict', 'peace']",577,the Globe
2020-11-05 21:00:01,b'Ideas about \xe2\x80\x98belonging\xe2\x80\x99 lie behind #conflict in #Kaduna: this insight could help deliver #peace https://t.co/SwX2EtgwE0',b'MIISCCS',"['conflict', 'Kaduna', 'peace']",624,Monterey
2020-11-05 19:33:06,b'A tribute to the hard work by our colleague @jamesfitz2 who developed and leads an excellent MA programme on #conflict #security and #peace at @LawGovDCU https://t.co/IxuQf9fi8u',b'IICRR',"['conflict', 'security', 'peace']",1200,Dublin City University
2020-11-05 19:24:32,"b""After this week, I've decided to assign all of @drdonnahicks's book on Dignity for Spring 2021. #BeTheChange #AcademicTwitter  @AcademicChatter @OpenAcademics #conflict #Peace #peacebuilding https://t.co/L8mp4RoooY""",b'SarahFederman',"['BeTheChange', 'AcademicTwitter', 'conflict', 'Peace', 'peacebuilding']",850,"Baltimore, MD"
2020-11-05 17:15:52,b'I recommend watching the Attack #movie  which is about the #Israel - #Palestine  #conflict  #movies #thursdayvibes #Aden #Yemen #Israeli #SaudiArabia #saudia #Aden #Peace #Thursday   https://t.co/1EGoX87wkK',b'AlaaIsam',"['movie', 'Israel', 'Palestine', 'conflict', 'movies', 'thursdayvibes', 'Aden', 'Yemen', 'Israeli', 'SaudiArabia', 'saudia', 'Aden', 'Peace', 'Thursday']",3195,SouthYemen - Aden
2020-11-05 15:32:14,"b""Washington Times - Taliban violence 'could undermine the agreement' with U\xe2\x80\xa4S., Pentagon says https://t.co/OJOFDcluJI #Afghanistan #AFG #ARG #Taliban #peace #PENTAGON #war #conflict #Terrorism""",b'AFG_in_Media',"['Afghanistan', 'AFG', 'ARG', 'Taliban', 'peace', 'PENTAGON', 'war', 'conflict', 'Terrorism']",858,Afghanistan
2020-11-05 08:03:03,"b'As part of our Domestic Harmonizer Program, WPDI staff taught two 7th grade science classes at a local middle school. The lessons focused on #emotions and the #brain, helping students learn how our brains change in #conflict. #peace #education #LA  @Verizon l @BankoftheWest https://t.co/2OyNn2L7zk'",b'connectWPDI',"['emotions', 'brain', 'conflict', 'peace', 'education', 'LA']",2379,
2020-11-04 23:28:12,"b'@zelfstudie @ClimateActionED @davidpallash What A Great Concept... #BuildTheChange I Love It! A Positive Connotation Suggesting #Peace &amp; #Progress, Rather ""##Fight"" Which Suggests #Negativity &amp; #Conflict.  #Biodiversity   #Environment  #ClimateAction'",b'DebiJules',"['BuildTheChange', 'Peace', 'Progress', 'Fight', 'Negativity', 'Conflict', 'Biodiversity', 'Environment', 'ClimateAction']",823,Canada
2020-11-04 19:17:48,b'#WednesdayThought #ElectionResults2020 #Congress #ThinkAboutIt Will\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #ThePeople Demand #OuterSpace #Diplomacy  #PeaceInSpace https://t.co/wTeOGdgH2V #Space #Exploration #Cooperation #Peace #Treaty ? https://t.co/ZsTKgCcRfo OR #Competition #Conflict ? https://t.co/59n2j6i4jc https://t.co/vaRdbN96l9',b'WeManifestPeace',"['WednesdayThought', 'ElectionResults2020', 'Congress', 'ThinkAboutIt', 'ThePeople', 'OuterSpace', 'Diplomacy', 'PeaceInSpace', 'Space', 'Exploration', 'Cooperation', 'Peace', 'Treaty', 'Competition', 'Conflict']",1818,Unified Heart-Mind Nonlocality
2020-11-04 18:32:10,"b""Yes, watch killings n destruction in #conflict, then package #postconflict #development as part of #peace industry. Over #research conflicts n write abt pple's suffering, theorize abt conflicts n become gatekeepers of #publications when #Africans want to tell their own stories. https://t.co/rZ9NPaVFrI""",b'swatipash',"['conflict', 'postconflict', 'development', 'peace', 'research', 'publications', 'Africans']",2793,"India, Australia, Sweden"
2020-11-04 15:05:14,"b'Author Effrem Habtetsion writes books on #Eritrea, and publishes in local languages. With so many years of #conflict, there are many stories to tell, but he also wants stories of #peace, friendship, etc.  @GeorgeMasonU @masonglobal @iAmEritrea @GMUCarterSchool @wedigere https://t.co/tbIHJ8NDpu'",b'WitnessEritrea',"['Eritrea', 'conflict', 'peace']",655,George Mason University
2020-11-04 13:36:25,"b'""Nobody is safe until everyone is safe. The virus knows no boundaries, nor should we. Working on the triggers of #conflict and on the capacitors for #Health and #Peace in action,\xe2\x80\x9d @rudiconinx, @WHO #gwp20 @GenevaPeaceWeek'",b'frontline_nego',"['conflict', 'Health', 'Peace', 'gwp20']",1168,"Geneva, Switzerland"
2020-11-04 13:04:41,b'Just arrived! Perfect timing to keep reflecting on conducting field #research in #peace and #conflict studies after the @BISA_Peacekeep roundtable https://t.co/JZ4cs1iTZU',b'diegodlamancha',"['research', 'peace', 'conflict']",690,"Granada, Spain"
2020-11-04 02:22:40,"b""#Libra #Venus qncx #Taurus #UranusRx exact @ 6:22p PST (8.53) - When the #scales are this far #OutOfBalance, the #foundation has become too #unstable to support genuine #equity, #fairness, #justice, or #peace. #Conflict, sadly, shouldn't be #surprising now. #astrology #LifeBySoul https://t.co/mKTxnAN4PI""",b'LifeBySoul',"['Libra', 'Venus', 'Taurus', 'UranusRx', 'scales', 'OutOfBalance', 'foundation', 'unstable', 'equity', 'fairness', 'justice', 'peace', 'Conflict', 'surprising', 'astrology', 'LifeBySoul']",328,"SF Bay Area, California, USA"
2020-11-03 15:47:33,"b'@euforbih Commander MG Reinhard Trischak said that  women are essential in #peacekeeping processes as well as in #resolving #conflict and restoring #peace.    EUFOR will continue supporting \xf0\x9f\x87\xa7\xf0\x9f\x87\xa6 to advance #WPSagenda and make further progress in this field, said MG Trischak. https://t.co/s8nmxlISn8'",b'RACVIAC',"['peacekeeping', 'resolving', 'conflict', 'peace', 'WPSagenda']",213,
2020-11-03 15:22:34,"b'Statement of the Chairperson of the African Union Commission, H.E. Mr. Moussa Faki Mahamat, on the Situation in Ethiopia @_AfricanUnion #Ethiopia #Conflict #Violence #Security #Peace #Reforms #Africa https://t.co/Ikm93klWAl'",b'APO_source',"['Ethiopia', 'Conflict', 'Violence', 'Security', 'Peace', 'Reforms', 'Africa']",11107,#AFRICA #MENA
2020-11-03 14:55:28,"b'Not new, but still relevant for ongoing #peace process: Latest #Afrobarometer data on #Mali: 79% of #rural population confirm high influence of #traditional authorities on local #conflict resolution &amp; 83% think this should be intensified. 68% estimate TAs strengthen #democracy.'",b'schnabel_simone',"['peace', 'Afrobarometer', 'Mali', 'rural', 'traditional', 'conflict', 'democracy']",247,"Frankfurt am Main, Deutschland"
2020-11-03 14:16:18,"b""Enjoying the @BISA_Peacekeep webinar 'Indiana Jones and the temple of scholarly doom/eternal light: Navigating #peace and #conflict #fieldwork'. Interesting discussions on research ahead #virtualBISA""",b'diegodlamancha',"['peace', 'conflict', 'fieldwork', 'virtualBISA']",690,"Granada, Spain"
2020-11-03 13:45:46,b'NOW: #UNSC debate (virtual) on #Peacebuilding &amp; Sustaining #Peace: Contemporary Drivers of #Conflict &amp; Insecurity Briefings by:  \xf0\x9f\x94\xb8#UN DSG @AminaJMohammed \xf0\x9f\x94\xb8@UNECOSOC President Amb Munir Akram \xf0\x9f\x91\x89Concept note https://t.co/MAPV4FV17N \xf0\x9f\x93\xba https://t.co/8tI6bVKACq @SVG_UN https://t.co/6D9miGrJXC',b'UNMediaLiaison',"['UNSC', 'Peacebuilding', 'Peace', 'Conflict', 'UN']",44301,UNHQ | NYC
2020-11-03 09:00:16,"b'[Weekly Report] #Libya Crisis Horizon. AI-Powered Crisis Indicators, Unique assessment, archive and up-to-date map. Click for PDF download. Stay tuned for the latest developments.  https://t.co/dxtNSTMEWs   #MiddleEast #conflict #civilwar #peace'",b'BehorizonOrg',"['Libya', 'MiddleEast', 'conflict', 'civilwar', 'peace']",1778,Belgium
2020-11-02 17:07:53,"b'Great day with the staff @CresseyCollege discussing #conflict #bullying, #racism #shadism #gender #SEND #Countylines #cyberbullying great to then move the conversation on to #Empathy and #peace in the lives of children and young people.  #AntiBullyingWeek'",b'LukeshRoberts',"['conflict', 'bullying', 'racism', 'shadism', 'gender', 'SEND', 'Countylines', 'cyberbullying', 'Empathy', 'peace', 'AntiBullyingWeek']",1620,London
2020-11-02 15:55:16,"b'Excited for this new CPERG event! Reserve the date for this talk by @LukeshRoberts on his research in #Peace, #conflict and #education connected to violence in youth prisons in the UK https://t.co/s1ugvte2Ta'",b'SimoneEringfeld',"['Peace', 'conflict', 'education']",542,"Cambridge, England"
2020-11-02 13:40:12,"b'#UNSCR1325 recognizes the impact of conflict on women and children and the importance of in the prevention and resolution of conflicts, peace negotiations, peace-building, and post-conflict reconstruction. #Women #peace #conflict'",b'amisomsomalia',"['UNSCR1325', 'Women', 'peace', 'conflict']",228944,Somalia
